deck_row_id,deck_id,oracle_semantic_identity,terminal_classification_identity,classification_status,terminal_requirement_ids
buckle_up:line-16,Buckle Up,7fc3798a-3907-4f50-98a1-25b8e1977197,ead9970293ebba9f19c1613a9af3c04bd32613ce9fe3e0bd67c6d63bd9be1a7b,REVIEWED_CORRECTED,"[""cap.trigger"",""cap.token_creation"",""cap.mass_token_creation""]"
buckle_up:line-17,Buckle Up,7e00b0cd-d212-4604-ba07-da21f4fe00b0,89df6a8e55bc5784170f85dce366627c0a10cc6f5a45cb819cb43b293f51d724,REVIEWED_CORRECTED,"[""cap.draw"",""cap.trigger"",""cap.equipment""]"
buckle_up:line-18,Buckle Up,d4193f50-33b5-4201-ba03-eb135eced7ff,b0b70fcbff9fca22b13a5a0f14490775e70de0be437c344d17edac5d236d8c38,REVIEWED_CORRECTED,"[""cap.target"",""cap.trigger"",""cap.graveyard"",""cap.reanimation""]"
buckle_up:line-19,Buckle Up,da3e7d3d-2ca0-40c3-9602-fca37c92f507,549a76cc1b619fd57bfcdc3ea17578c7561244a88ca850df866bcfbcaf5ded5f,REVIEWED_CORRECTED,"[""cap.mill"",""cap.target"",""cap.trigger"",""cap.graveyard""]"
buckle_up:line-20,Buckle Up,96b87445-6362-4a17-91b2-cbf203fd03fd,b36f7a0780897fdf2c20c0945beda1be55f87e67662b398c1f191073548219f7,REVIEWED_CORRECTED,"[""cap.artifact_permanent""]"
buckle_up:line-21,Buckle Up,181e6b3e-c33e-49e7-acb8-67473289a856,51b01d30c6f33d4f0c2092026b4a48d95c7603399dba45b1f54d810c36764de5,REVIEWED_CORRECTED,"[""cap.continuous_pt"",""cap.artifact_permanent""]"
buckle_up:line-22,Buckle Up,e3b9c9e3-5a35-4dd2-ab17-d1b6a140b185,92741f031f1cce69615c75322a480ddd98ee88ff3c8e1d689120f685577243bb,REVIEWED_CORRECTED,"[""cap.trigger"",""cap.draw_discard""]"
buckle_up:line-23,Buckle Up,52241b9c-7a69-4176-9234-8bdab09d8e64,24cd38159b71b10a50cc769e46034abbdd4b27161f08728c68a20035d19ca18b,REVIEWED_CORRECTED,"[""cap.draw"",""cap.trigger"",""cap.token_creation"",""cap.mass_token_creation""]"
buckle_up:line-24,Buckle Up,b36accb4-cde6-4b1d-b549-8c975cfa999d,745e68b3387fb086c60e85c0c2a1f834d2d1d90753dd3fcd8042f0ca44f5d23c,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-25,Buckle Up,7060f2c8-fca0-4b7a-bddf-37682f434596,558326059997168b36bddd66d49bea7ca85e9a89d611f5bd71444ca529922a71,REVIEWED_CORRECTED,"[""cap.target"",""cap.trigger"",""cap.token_creation"",""cap.mass_token_creation""]"
buckle_up:line-26,Buckle Up,4bd38337-fb79-4809-848a-308c682825d1,58c75d9432febeb2c73f0e0f35c83b58683465433332e2416a48a1818be572ba,REVIEWED_CORRECTED,"[""cap.reveal"",""cap.trigger"",""cap.bottom_order"",""cap.artifact_permanent""]"
buckle_up:line-27,Buckle Up,3b008c71-e2a0-4f56-83d3-655c5dd58e0e,63dddc46e2ced2adea20498fbe05a9c8b16793a89a438b0b19e3c7e016e1b125,REVIEWED_CORRECTED,"[""cap.target"",""cap.graveyard"",""cap.graveyard_return""]"
buckle_up:line-28,Buckle Up,13044ca1-76a3-43b2-a8e4-3bbc692c30c5,bb6b401888fad91d14b13631fe9320c091a747bffdbb064b1e199b92bf18cfe1,REVIEWED_CORRECTED,"[""cap.flash""]"
buckle_up:line-29,Buckle Up,18f22960-87ec-43cd-82ea-ec5cabf49ad3,b18743afa2e992dad76be933bfba5b9843c5ce3b594c011ee0c7135d1866c8a1,REVIEWED_CORRECTED,"[""cap.artifact_permanent""]"
buckle_up:line-30,Buckle Up,bd6af7b3-b30f-4a65-a18f-8655f778e76a,89cd66e97b456f76394d7b674645c22ed4c277c833777c4285f26b6d0dc5dff7,REVIEWED_CONFIRMED,"[""cap.activation_cost"",""cap.mana_production"",""cap.artifact_permanent""]"
buckle_up:line-31,Buckle Up,e110ee80-37af-4989-a5fb-95d51dc7f102,e3a23ea308abfdcf2db2b8073b60328dc3a23f831466804cb40ddf5d4191022a,REVIEWED_CORRECTED,"[""cap.flash"",""cap.artifact_permanent""]"
buckle_up:line-32,Buckle Up,66e8f7f8-3a6d-46ba-837c-b9713ddf7f40,2e97df3181599784a1f6d29b1ac2fed1f63161601423b5aaca5eb94b1b089ec3,REVIEWED_CONFIRMED,"[""cap.activation_cost"",""cap.mana_production"",""cap.artifact_permanent""]"
buckle_up:line-33,Buckle Up,00c0543c-2a1f-4425-8283-4062d74a1637,576eaa7b573a4000fcc118340f74cfb4cc1f5b7f03584a83d6a8898772147e4a,REVIEWED_CORRECTED,"[""cap.draw"",""cap.shuffle"",""cap.trigger"",""cap.death_trigger"",""cap.search_library"",""cap.artifact_permanent""]"
buckle_up:line-34,Buckle Up,d9e24d7c-0907-45c1-b5d3-9fb16a929868,eba64f74279218d77b080f2b14712b16732ae2d8a200671bb3cca3ebf9b2baac,REVIEWED_CONFIRMED,"[""cap.improvise"",""cap.mass_destruction"",""cap.artifact_exception""]"
buckle_up:line-35,Buckle Up,c5a5c17d-d1e4-4d23-9d2b-1c2febdcb0e7,287bee60511ddcce1e696831b0c07c86bb7636e301d87a698d29a2bd54bb6a25,REVIEWED_CONFIRMED,"[""cap.draw"",""cap.improvise"",""cap.choice_number_x""]"
buckle_up:line-36,Buckle Up,cce9bbff-82dc-4b2f-addd-d6715588de20,649cb288459339e0b422b5dbed9b1ac98de1a24c2f6e713f5001290af19853e6,REVIEWED_CORRECTED,"[""cap.draw""]"
buckle_up:line-37,Buckle Up,fdfac093-a5c0-47b4-9052-e0af517d83cf,acdedcbdf1a5e9edb73c72982b7e8d56593622fdf13e74c1927e3f5e056fe662,REVIEWED_CONFIRMED,"[""cap.base_pt"",""cap.reanimation"",""cap.type_change"",""cap.choice_number_x"",""cap.multi_target_graveyard""]"
buckle_up:line-38,Buckle Up,3ae456e4-cb35-47be-b654-051e288622fe,016711babe3781e9b2ba281743c9c735bac479346bf4bc70b3cc2111e8ccad5a,REVIEWED_CORRECTED,"[""cap.exile"",""cap.target"",""cap.graveyard"",""cap.token_creation"",""cap.mass_token_creation""]"
buckle_up:line-39,Buckle Up,353dd446-2ea6-41c9-a10f-5a03e4de19b4,f9fc794118e93559d9207e58433c49de7f59704a288329abc3d10e5c005239b7,REVIEWED_CORRECTED,"[""cap.target"",""cap.counterspell"",""cap.token_creation"",""cap.choice_number_x"",""cap.mass_token_creation"",""cap.scaled_token_creation""]"
buckle_up:line-40,Buckle Up,3d5b6151-d985-423b-8ade-f00958bbd3f6,ea0371122f8ee0545d824b2662aa4d9e4e47bb4df34eb285e6038f8aec751afa,REVIEWED_CORRECTED,"[""cap.vehicle"",""cap.attachment"",""cap.temporary_animation""]"
buckle_up:line-41,Buckle Up,ecbc234d-e1d3-4bcc-81d4-fffc2c7ea16a,e2fb777230d658e25c42c2da9ec8fa1d0024e9a0d003bc8542dcb6ee315d0e66,REVIEWED_CORRECTED,"[""cap.exile"",""cap.target"",""cap.mode_choice""]"
buckle_up:line-42,Buckle Up,133c99c0-3652-410f-8100-68015a47af9f,7c2a77f271f2777826bddafd889d2b4c4af02a6437d6dcc4a0d92f8318cd4d14,REVIEWED_CORRECTED,"[""cap.exile"",""cap.target""]"
buckle_up:line-43,Buckle Up,fae37e28-e137-4177-b973-fa8b4dd8f409,2df73317b09475c4d9e692a59419dd4f541af31746c9060c7ba3d70989ba9fe9,REVIEWED_CORRECTED,"[""cap.target"",""cap.destroy""]"
buckle_up:line-44,Buckle Up,b1544f21-7e98-461b-aed5-e748b0168c52,0b13fc30085d435367c4f45106509fb9a4ae2c148c1830de56bf27fa40b88edf,REVIEWED_CORRECTED,"[""cap.life"",""cap.exile"",""cap.target""]"
buckle_up:line-45,Buckle Up,70dc830e-d05b-4fc7-88dd-879e140b3fbf,302d7538b3e2facfb6a6892670b5b4c6afe09f783bb84257e2d66b4e87bee078,REVIEWED_CORRECTED,"[""cap.exile"",""cap.target""]"
buckle_up:line-46,Buckle Up,92c9b2fd-95d6-4937-aee2-67b4bb8ca29d,415bd1ddeb85d0f54e1972a6ff3534eee9911a9356e0d8acf80c1aa9a4ad5249,REVIEWED_CORRECTED,"[""cap.crew"",""cap.shuffle"",""cap.trigger"",""cap.vehicle"",""cap.attack_trigger"",""cap.search_library"",""cap.artifact_permanent""]"
buckle_up:line-47,Buckle Up,f434e266-d9d6-4058-96ff-a1bd4029d8dc,95b7417160edd25c2acdc3110c932e185538635f30853a87f15dece47ef6a8ee,REVIEWED_CONFIRMED,"[""cap.copy"",""cap.vehicle"",""cap.copy_exception"",""cap.copiable_values""]"
buckle_up:line-48,Buckle Up,18ad0dd1-2d0e-46b4-8ab1-ece07180267f,808153291654c51a4655b3ea74cc3656b0f2bb368f58637841705d1670dfc640,REVIEWED_CORRECTED,"[""cap.crew"",""cap.target"",""cap.trigger"",""cap.vehicle"",""cap.graveyard"",""cap.type_change"",""cap.attack_trigger"",""cap.choice_number_x"",""cap.graveyard_return"",""cap.artifact_permanent"",""cap.temporary_animation""]"
buckle_up:line-49,Buckle Up,3c1a2a2d-656f-4021-b046-59e14383a8c8,54c09cf24ff8aeb7417885e0d2923b1e748a6edf4114eb4b0258cd651c81d1a4,REVIEWED_CONFIRMED,"[""cap.vehicle"",""cap.attack_trigger"",""cap.temporary_animation""]"
buckle_up:line-50,Buckle Up,405a54b3-fb9f-4503-a4fc-3ba6a5e58205,16c5df274bbd42132de7bdd727743b55be6cbfb46cad2d9f837cebfd78c1b7b4,REVIEWED_CORRECTED,"[""cap.crew"",""cap.trigger"",""cap.vehicle"",""cap.pilot_token"",""cap.type_change"",""cap.attack_trigger"",""cap.token_creation"",""cap.choice_number_x"",""cap.artifact_permanent"",""cap.mass_token_creation"",""cap.temporary_animation""]"
buckle_up:line-51,Buckle Up,bf9421d2-54e2-44d8-8b39-2e41192a6517,f14530fdb4ea3e3bba0ef4519136279799eade3e43fb6b72eda7b4ca5d1b143e,REVIEWED_CORRECTED,"[""cap.crew"",""cap.damage"",""cap.target"",""cap.trigger"",""cap.vehicle"",""cap.choice_number_x"",""cap.artifact_permanent""]"
buckle_up:line-52,Buckle Up,24d22bcb-8a77-4c47-a508-6f4bc093c1d0,6fb3c033b08c73f486391a9c8d845d615f102a5eaf953c71285cde85715a2884,REVIEWED_CONFIRMED,"[""cap.crew"",""cap.vehicle"",""cap.attack_trigger"",""cap.attacking_token_creation""]"
buckle_up:line-53,Buckle Up,0bc7f093-bef0-4f1a-852c-4b75ebf54838,09209dc1329df1b377fe35d8499b93f7427a55327be4cbe9091916cb676b97e7,REVIEWED_CONFIRMED,"[""cap.activation_cost"",""cap.mana_production"",""cap.artifact_permanent""]"
buckle_up:line-54,Buckle Up,e018773f-95b3-49a3-9674-6f04ddef2092,05aba38ddaab578abd5bb04bb97e95146b73d2f1e60802b96808425858ade4af,REVIEWED_CONFIRMED,"[""cap.activation_cost"",""cap.mana_production"",""cap.artifact_permanent""]"
buckle_up:line-55,Buckle Up,4cdf524a-1a99-4143-823b-d3c5c867c580,c3b6177b9f1700896b54d91aaae0690ca2135d49d102bec6c4754a36a7276518,REVIEWED_CORRECTED,"[""cap.crew"",""cap.life"",""cap.trigger"",""cap.vehicle"",""cap.type_change"",""cap.attack_trigger"",""cap.choice_number_x"",""cap.mana_production"",""cap.artifact_permanent"",""cap.temporary_animation""]"
buckle_up:line-56,Buckle Up,c1eb530c-dd36-40ae-8617-6bb6969565e1,926607d9a9b6838e7c0e5bacf621652c18ee51781e2404e439b8c29d943a7372,REVIEWED_CORRECTED,"[""cap.crew"",""cap.vehicle"",""cap.type_change"",""cap.mana_ability"",""cap.choice_number_x"",""cap.mana_production"",""cap.artifact_permanent"",""cap.temporary_animation""]"
buckle_up:line-57,Buckle Up,95560508-7ac9-4be9-8a3f-3c7d5b52807b,610444a5bc7dc46a6f2c9e2cccf3ae26f4e1ba7ba756cfa6b3838a55b18aa657,REVIEWED_CONFIRMED,"[""cap.activation_cost"",""cap.mana_production"",""cap.artifact_permanent""]"
buckle_up:line-58,Buckle Up,6a84eda1-7e72-4b5a-849f-b6e177565aeb,34f11ace8c1b6bc970c0af3ae7235c271d63e7c0950d833bc4f407211b43d9a5,REVIEWED_CONFIRMED,"[""cap.copy"",""cap.type_layer"",""cap.temporary_copy"",""cap.copiable_values""]"
buckle_up:line-59,Buckle Up,f89f7c7d-6eb3-4335-b9df-0ccaa9c50558,94e7bb7a6098d8c778a447cb59c9f74af2251e6177d3dec91234568bc75147a0,REVIEWED_CONFIRMED,"[""cap.vehicle"",""cap.activated_ability"",""cap.temporary_animation""]"
buckle_up:line-60,Buckle Up,1e9b3c9e-07ae-4de5-8607-93773825f655,0f51e8990f4d91ffad0c626df48d848fc9f4b348fcaba31b4994813d5a34e424,REVIEWED_CORRECTED,"[""cap.crew"",""cap.trigger"",""cap.vehicle"",""cap.type_change"",""cap.attack_trigger"",""cap.choice_number_x"",""cap.artifact_permanent"",""cap.temporary_animation""]"
buckle_up:line-61,Buckle Up,50b14338-9318-4327-a1dd-c0ef38903cc4,3fc8104f6ffffda902b2857ae2720ae6f8b55b31eb3a4b2590d4e20592efb276,REVIEWED_CORRECTED,"[""cap.crew"",""cap.damage"",""cap.target"",""cap.trigger"",""cap.vehicle"",""cap.type_change"",""cap.attack_trigger"",""cap.choice_number_x"",""cap.artifact_permanent"",""cap.temporary_animation""]"
buckle_up:line-62,Buckle Up,49136bdc-bc50-49a2-999a-1ef9c16ea130,03fdfbdb987783f31c4309b5041bfe3f01b5d124686fc4299413d396730286b8,REVIEWED_CORRECTED,"[""cap.crew"",""cap.trigger"",""cap.vehicle"",""cap.type_change"",""cap.draw_discard"",""cap.attack_trigger"",""cap.choice_number_x"",""cap.artifact_permanent"",""cap.temporary_animation""]"
buckle_up:line-63,Buckle Up,6ad8011d-3471-4369-9d68-b264cc027487,0edfee8a26567805c343d1bda8704c50b666f997b3413b1acb30bd250fda4949,REVIEWED_CONFIRMED,"[""cap.activation_cost"",""cap.mana_production"",""cap.artifact_permanent""]"
buckle_up:line-64,Buckle Up,73b3682f-396a-4ebe-aaac-6ce3ee36283a,117a4dbce9b2691903178c15c4cfc6b6339afd21042fa79233cf225cc72600d6,REVIEWED_CORRECTED,"[""cap.crew"",""cap.damage"",""cap.reveal"",""cap.trigger"",""cap.vehicle"",""cap.bottom_order"",""cap.artifact_permanent"",""cap.combat_damage_trigger""]"
buckle_up:line-65,Buckle Up,5d47e820-913f-441a-a6cc-37ab3181d79a,4fe921ca623b0dff5f5a5b2e94a7919cf52286b89af57cbbb3d3deb77e466277,REVIEWED_CONFIRMED,"[""cap.aura"",""cap.crew"",""cap.flash"",""cap.vehicle"",""cap.type_change"",""cap.loses_card_types""]"
buckle_up:line-66,Buckle Up,49be65fd-3755-410d-b0dc-2e5861ea2552,7482ade8daafce0d307e383e71b20e1c8160c9f4bd9ee989006b6dfc26198ba7,REVIEWED_CORRECTED,"[""cap.draw"",""cap.damage"",""cap.trigger"",""cap.token_creation"",""cap.upkeep_trigger"",""cap.mass_token_creation"",""cap.combat_damage_trigger""]"
buckle_up:line-67,Buckle Up,0895c9b7-ae7d-4bb3-af17-3b75deb50a25,feeadba75b0cae107bc0fcde9bb70aa3beb14b669a7d2db7da8a769bb0df9364,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-68,Buckle Up,27b047e3-0d41-45e2-98e9-9391d7923a1e,86d0530f8dcff74596a40e9bce7cab12452176c5cd638e18ee5641b66727321e,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-69,Buckle Up,458d2b12-f578-4392-98d3-c3bc83f316c4,5d5d615573bd1c82475cc08edee8df09227242c678fcfd4e178b3ecf670f223a,REVIEWED_CORRECTED,"[""cap.reveal"",""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-70,Buckle Up,5330e24a-8568-446e-840a-594cd08bd1bc,092fb5a822e499eb695d41a50fcd945004b3c4b43d4cf00db53a6468c30a1b16,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-71,Buckle Up,76f335d0-7f71-4b1a-b60d-73de954cbe2c,417bc1be33e0f75235c065e55ce65f1f3f5576ea840ff579dd3b09303892cd72,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-72,Buckle Up,55a519b4-61cb-448a-875b-4d6dbe00580f,7d159d0e56f5c51a118bc2af6285e2235769b141abdfed4e09d6ffd8ce84a95e,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-73,Buckle Up,89f43e27-790b-4ca1-8ba7-0882b31e0783,35187ab390544fdb3bc1cc08751a262ffd4471f7f97027cf3a3492ea7519cea1,REVIEWED_CORRECTED,"[""cap.scry"",""cap.trigger"",""cap.bottom_order"",""cap.mana_ability"",""cap.mana_production""]"
buckle_up:line-74,Buckle Up,bc71ebf6-2056-41f7-be35-b2e5c34afa99,37a634da6d2df7ebdad326af9e2e24f116d85328d5137cfe67585223b2ebe0b2,REVIEWED_CONFIRMED,"[""cap.land_zone"",""cap.mana_source"",""cap.ordered_library_card""]"
buckle_up:line-75,Buckle Up,b2c6aa39-2d2a-459c-a555-fb48ba993373,7d582ec989bb9b3212c9b077efe094a397d59495e33a0bdc8f4c760fd8a5486c,REVIEWED_CONFIRMED,"[""cap.land_zone"",""cap.mana_source"",""cap.ordered_library_card""]"
elven_empire:line-4,Elven Empire,9b568c34-ba0a-44a7-a0ee-bee3a37b3396,094f2e6ea7cf59308a401f7b2bc90a5adfbb0dc5c435306f4ad5ba6a959d06be,REVIEWED_CONFIRMED,"[""cap.life_drain"",""cap.tap_ten_cost"",""cap.combat_damage_trigger"",""cap.scaled_token_creation""]"
elven_empire:line-5,Elven Empire,5146ba3f-2c5f-4a86-95d7-a34ce1e842b0,67d5a4a4d73c7494b2286051a57ace67df7b839d390e5f383eabdcec35c23c17,REVIEWED_CORRECTED,"[""cap.tribal"",""cap.graveyard"",""cap.choice_number_x""]"
elven_empire:line-6,Elven Empire,5da7eea8-bb9e-47ce-a554-8a1ee058bd7a,8e217c0d481202b49c1dcbca48557f75c795456982c4561eb4cc98b5874638dd,REVIEWED_CORRECTED,"[""cap.draw"",""cap.trigger""]"
elven_empire:line-7,Elven Empire,8b20d6f4-6322-4435-92d5-acaae74774f4,eaa7b8c33953e9703cb8adf5ecce4ee8b9dd8c01e0e3e4a294d4329c537978b8,REVIEWED_CORRECTED,"[""cap.tribal"",""cap.mana_ability"",""cap.mana_production""]"
elven_empire:line-8,Elven Empire,ca4c0945-7035-47dc-aba8-fbda351d9b7b,4a2c0be1da50ded361e4658756b210704e02c1cfbf97c0ac68665ce7c830c0d1,REVIEWED_CORRECTED,"[""cap.trigger"",""cap.counters"",""cap.attack_trigger"",""cap.token_creation"",""cap.choice_number_x"",""cap.mass_token_creation""]"
elven_empire:line-9,Elven Empire,30d0d75f-e94c-460b-b957-9f1d655c0f65,a28db837f35322a548731c491eb78dd63334faf853689bb5f533b1d1d77a3ca1,REVIEWED_CORRECTED,"[""cap.life"",""cap.tribal"",""cap.trigger"",""cap.continuous_pt"",""cap.attack_trigger""]"
elven_empire:line-10,Elven Empire,29c1f80e-f7e2-425e-a225-e88351fcbaab,3f7951991c51ea1940a470b1fd098d510778abe5316545e340d99bfd5c42d001,REVIEWED_CORRECTED,"[""cap.target"",""cap.tribal"",""cap.trigger"",""cap.graveyard"",""cap.death_trigger"",""cap.graveyard_return""]"
elven_empire:line-11,Elven Empire,6e2c2423-d854-4478-99e6-64f29851f026,c4972af42946cb6e2683aa364d5d601b2de3ec10521e8073a2ce08235d762042,REVIEWED_CORRECTED,"[""cap.tribal"",""cap.mana_ability"",""cap.continuous_pt"",""cap.mana_production""]"
elven_empire:line-12,Elven Empire,3f3b2c10-21f8-4e13-be83-4ef3fa36e123,56e6479eae52df1ddcfb5c53f59c995b6c05184cfee983b6f304fd7a06154495,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
elven_empire:line-13,Elven Empire,71d14755-b81d-4aec-b94d-1637884a5844,13630c8606d495111a0baea4661c8ffe2bf9ab6c191d8fa29d117d670d75a8b7,REVIEWED_CORRECTED,"[""cap.trigger"",""cap.bottom_order""]"
elven_empire:line-14,Elven Empire,69b52907-8aff-4f2a-a391-7d1ab2669b5c,a06b1efe1ebf08e7acd7cd3de11f172e4264cda2c2d020f7859a1b93784d4801,REVIEWED_CORRECTED,"[""cap.trigger"",""cap.continuous_pt""]"
elven_empire:line-15,Elven Empire,b7d69422-b90b-4149-8c6d-eef636d5c6f5,636086d9771771f5e5df5a3796f463b9e7f0eb377733c73d5763dd4fb9fe70e6,REVIEWED_CORRECTED,"[""cap.mill"",""cap.tribal"",""cap.trigger"",""cap.graveyard"",""cap.death_trigger"",""cap.token_creation"",""cap.mass_token_creation""]"
elven_empire:line-16,Elven Empire,4ce2357f-93e6-40ca-beca-8f4e15adc464,75a05088bade295ebd89e5b1ab343f74f7b14a0d5a673895d75b985a8c4cd91b,REVIEWED_CORRECTED,"[""cap.shuffle"",""cap.trigger"",""cap.search_library""]"
elven_empire:line-17,Elven Empire,e5456b35-d7a9-4717-90df-c6c46f1ec437,39b0a609e84afae8acc07a00be810e213cd2babc3146ab16db5c6d719f03c722,REVIEWED_CORRECTED,"[""cap.target"",""cap.trigger"",""cap.graveyard"",""cap.graveyard_return""]"
elven_empire:line-18,Elven Empire,0089b07c-7f47-4a9a-9fb7-cc38ec9d7bcd,2595d20b0e4d0cfc0c1b8f9d81008a2d2b0b7e88261434cebb53fdcc1d5c51fd,REVIEWED_CORRECTED,"[""cap.reveal"",""cap.tribal"",""cap.trigger"",""cap.bottom_order""]"
elven_empire:line-19,Elven Empire,3fa71348-fa4d-4f39-a451-cf1570591991,332743421ac2dd9e5978d05b3d679e5110a5a6200634e9ca0a6c3a19f48e2381,REVIEWED_CORRECTED,"[""cap.tribal"",""cap.token_creation"",""cap.mass_token_creation""]"
elven_empire:line-20,Elven Empire,f7139c70-dfcc-41ae-9d0d-b6e8c07a063d,a3757c8f2214a0464713a4cf69c65357b44890383aba234efd5d0ecbad89ddea,REVIEWED_CORRECTED,"[""cap.damage"",""cap.target"",""cap.tribal""]"
elven_empire:line-21,Elven Empire,e2f98813-4f39-4135-b05b-407e9eb797f6,11f21b981956c107b243f66c5e8875ba852370a642c5ab8ec567453d6dd3a60b,REVIEWED_CORRECTED,"[""cap.mana_production""]"
elven_empire:line-22,Elven Empire,cfd0f0e6-1bbf-4450-97d2-c54907abb7e4,d73eb9b94fbde16e13592b3d75acfb0b0f645b6ae5298711fd76694aadd99d22,REVIEWED_CORRECTED,"[""cap.mana_ability"",""cap.mana_production""]"
elven_empire:line-23,Elven Empire,3f3439e1-75ce-482d-881f-836492dca6e9,e6214c77c29627d065ff643d1bcdc3ceac48fd8dd69587f18084b009d3688979,REVIEWED_CORRECTED,"[""cap.tribal"",""cap.trigger"",""cap.token_creation"",""cap.mass_token_creation""]"
elven_empire:line-24,Elven Empire,b7ebd207-43e3-49eb-86ca-b5987ef9e22f,60fcc97921f477caefd20f91b2fe4ebc7997582024eef70dfe26859ccb22ac55,REVIEWED_CORRECTED,"[""cap.target"",""cap.tribal"",""cap.discard_cost""]"
elven_empire:line-25,Elven Empire,ee35de1c-aef1-4bd4-85fd-fe77bc927790,2f43294b44a7b97dcd31faa5f5095a5b4ebc8927424b19c805fa3384f33e587c,REVIEWED_CORRECTED,"[""cap.tribal"",""cap.trigger"",""cap.counters"",""cap.mana_ability""]"
elven_empire:line-26,Elven Empire,ea97fc76-3a32-414c-aa12-87be1a0eb9f3,309d5e17a2bacd2a1b1cb5a3391e3c67f1756ac3e58a47a25a717bfe52da81b5,REVIEWED_CORRECTED,"[""cap.draw"",""cap.trigger"",""cap.graveyard"",""cap.graveyard_return""]"
